110	110	W AH N T I AH N;
17-ketosteroids	17_ketosteroids	S EH V AH N T I N K I T O S T ER OI D Z;
1A2	1_a_2_	W AA N EI T U;
4Dx	4_d_x	F AO R D I EH K S;
80-90	80_to_90	EI D I T U N AI N I;
911	9_1_1	N AI N W AA N W AA N;
A&O	a_and_o	EI AE N D O;
A&O	a_and_o	EI AH N O;
A&O	a_and_o	EI EH N O;
A&Ox1	a_and_o_x1	EI AE N D O T AI M Z W AH N;
A&Ox1	a_and_o_x1	EI AE N D O W AH N;
A&Ox1	a_and_o_x1	EI AE N O T AI M Z W AH N;
A&Ox1	a_and_o_x1	EI AH N D O T AI M Z W AH N;
A&Ox1	a_and_o_x1	EI AH N O T AI M Z W AH N;
A&Ox1	a_and_o_x1	EI EH N O T AI M Z W AH N;
A&Ox2	a_and_o_x2	EI AE N D O T AI M Z T U;
A&Ox2	a_and_o_x2	EI AE N D O T U;
A&Ox2	a_and_o_x2	EI AE N O T AI M Z T U;
A&Ox2	a_and_o_x2	EI AH N D O T AI M Z T U;
A&Ox2	a_and_o_x2	EI AH N O T AI M Z T U;
A&Ox2	a_and_o_x2	EI EH N O T AI M Z T U;
A&Ox3	a_and_o_x3	EI AE N D O T AI M Z TH R I;
A&Ox3	a_and_o_x3	EI AE N D O TH R I;
A&Ox3	a_and_o_x3	EI AE N O T AI M Z TH R I;
A&Ox3	a_and_o_x3	EI AH N D O T AI M Z TH R I;
A&Ox3	a_and_o_x3	EI AH N O T AI M Z TH R I;
A&Ox3	a_and_o_x3	EI EH N O T AI M Z TH R I;
A&Ox4	a_and_o_x4	EI AE N D O F AO R;
A&Ox4	a_and_o_x4	EI AE N D O T AI M Z F AO R;
A&Ox4	a_and_o_x4	EI AE N O T AI M Z F AO R;
A&Ox4	a_and_o_x4	EI AH N D O T AI M Z F AO R;
A&Ox4	a_and_o_x4	EI AH N O T AI M Z F AO R;
A&Ox4	a_and_o_x4	EI EH N O T AI M Z F AO R;
AAO	a_a_o	EI EI O;
AAOx1	a_a_o_x1	EI EI O T AI M Z W AH N;
AAOx2	a_a_o_x2	EI EI O T AI M Z T U;
AAOx3	a_a_o_x3	EI EI O T AI M Z TH R I;
AAOx4	a_a_o_x4	EI EI O T AI M Z F AO R;
ADLs	a_d_l_s	EI D I EH L Z;
ADOS	_ados_	EI D AA S;
AFib	a_fib	EI F IH B;
AIMS	_aims_	EI M Z;
AIMS	a_i_m_s	EI AI EH M EH S;
ALVAL	_alval_	AA L V AH L;
ALVAL	_alval_	AE L V AE L;
ALVAL	_alval_	AE L V AH L;
AO	a_o	EI O;
AOx1	a_o_x1	EI O T AI M Z W AH N;
AOx2	a_o_x2	EI O T AI M Z T U;
AOx3	a_o_x3	EI O T AI M Z TH R I;
AOx4	a_o_x4	EI O T AI M Z F AO R;
ARTEMIDA	_artemida_	AA R T AH M I D AH;
Abnormal Involuntary Movement Scale	abnormal_involuntary_movement_scale	AE B N AO R M AH L IH N V AA L AH N T AE R I M U V M EH N T S K EI L;
Abnormal Involuntary Movement Scale	abnormal_involuntary_movement_scale	AE B N AO R M AH L IH N V AA L AH N T EH R I M U V M AH N T S K EI L;
AccuSom	_accusom_	AE K J U S AA M;
Acral ischemia	_acral_ischemia_	AE K R AX L IH S K I M I AX;
Acral ischemia	_acral_ischemia_	EI K R AX L IH S K I M I AX;
Acral ischemia	_acral_ischemia_	EI K R AX L IH SH IH M I AX;
Addison's	_addison_s_	AE D AH S AH N Z;
Addison's	_addison_s_	AE D IH S AH N Z;
Addison's	_addison_s_	AE T AH S AH N Z;
Aircast	_aircast_	EH R K AE S T;
Aircast	_aircast_	EI R K AE S T;
Alba	_alba_	AA L B AH;
Alba	_alba_	AE L B AH;
Albamycin	_albamycin_	AE L B AH M AI S IH N;
Albamycin	_albamycin_	AE L B AH M I S IH N;
Albamycin	_albamycin_	AE L B EI M AI S IH N;
Alberta Infant Motor Scale	alberta_infant_motor_scale	AE L B ER D AH IH N F AH N T M O D ER S K EI L;
Alberta Infant Motor Scale	alberta_infant_motor_scale	AE L B ER T AH IH N F AH N T M O T ER S K EI L;
Allele	_allele_	AE L EH L;
Allele	_allele_	AH L EH L I;
Allele	_allele_	AH L EH L;
Alleles	_alleles_	AE L EH L Z;
Alleles	_alleles_	AH L EH L I Z;
Alleles	_alleles_	AH L EH L Z;
Allied	_allied_	AE L AI D;
Allied	_allied_	AE L I D;
Allied	_allied_	AH L AI D;
AlliedSignal	_alliedsignal_	AE L AI D S IH G N AH L;
AlliedSignal	_alliedsignal_	AE L I D S IH G N AH L;
AlliedSignal	_alliedsignal_	AE L I D Z IH G N AH L;
Alliedsignal's	_alliedsignal_s_	AE L AI D S IH G N AH L Z;
AltaMed	_altamed_	AA L T AH M EH D;
AltaMed	_altamed_	AE L T AH M EH D;
Alzheimer's	_alzheimer_s_	AA L T S H AI M ER Z;
Alzheimer's	_alzheimer_s_	AE L Z H AI M ER Z;
AmnioFix	amnio_fix	AE M N I AO F IH K S;
AmnioFix	amnio_fix	AE M N I O F IH K S;
AmnioFix	amnio_fix	AE M N J O F IH K S;
Amniota	_amniota_	AE M N I AA T AH;
Analisa	_analisa_	AE N AH L I S AH;
Analisa	_analisa_	AE N AH L IH S AH;
Analisa	_analisa_	AE N AH L IH Z AH;
Ancylostoma	_ancylostoma_	AE N S AI L AO S T AH M AH;
